id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID10219			Plumbagin+Bromocriptine	Mixture	38593863	In vitro	Monogenean				Rhabdosynochus viridisi	mg/L	2+10	2+10	-	100.0	Antiparasitic
RID10225			Pogostemon cablin leaf extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	250.0	250.0	-	86.0	Antiparasitic
RID10239			Punica granatum fruit extract	Mixture	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	31.3-1000.0	31.3-1000.0	-	40.0-100.0	Antiparasitic
RID00061	CID:168114	CAS:23513-15-7	10-gingerol	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	500.0-1000.0	500.0-1000.0	-	20.0-53.3	Antiparasitic
RID10251			Rosa laevigata fruit extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	400.0	400.0	-	30.0	Antiparasitic
RID10255			Rosmarinus officinalis whole plant aqueous extract	Mixture	29080753	In vitro	Gills				Dactylogyrus minutus	g/L	100.0-200.0	100.0-200.0	7.8-61.8	85.7-100.0	Anthelmintic
RID10256			Rosmarinus officinalis whole plant ethanol extract	Mixture	29080753	In vitro	Gills				Dactylogyrus minutus	g/L	2.0-32.0	2.0-32.0	5.4-85.45	68.5-100.0	Anthelmintic
RID10259			Rubus chingii fruit extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	400.0	400.0	-	78.0	Antiparasitic
RID10261			Salvia miltiorrhiza extract	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	125.0-1000.0	125.0-1000.0	-	33.3-100.0	Antiparasitic
RID10268			Schinus terebinthifolius fruit essential oil	Mixture	39163500	In vitro	Skin & Fins of naturally parasitized juvenile tilapia				Protozoan Epistylis sp.	%	0.25-2.0	0.25-2.0	-	100.0	Antiparasitic
RID10281			Syzygium aromaticum flower bud extract	Mixture	35205146	In vitro	Ciliate				Philaster lucinda	ppm	1500.0-10000.0	1500.0-10000.0	-	100.0	Antiparasitic
RID00067	CID:19211	CAS:3602-55-9	2-tert-butyl-1,4- benzoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	Gyrodactylus kobayashii	mg/L	0.1-0.2	0.1-0.2	-	100.0	Anthelmintic
RID10316			Zingiber zerumbet essential oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	15.0	15.0	-	100.0	Antiparasitic
RID00007	CID:10205	CAS:481-42-5	Plumbagin	Compound	38593863	In vitro	Monogenean				Rhabdosynochus viridisi	mg/L	0.5-10.0	0.5-10.0	-	95.0-100.0	Antiparasitic
RID00074	CID:2082	CAS:54965-21-8	Albendazole	Compound	39194144	In vivo		Colossoma macropomum	Juvenile	Bath	Monogeneans (Anacanthorus spathulatus, Notozothecium janauachensis and Mymarothecium boegeri)	mg/L	500.0	500.0	-	94.9	Antiparasitic
RID00008	CID:102075992	CAS:89200-01-1	Kuwanon-O	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	62.5-1000.0	62.5-1000.0	-	46.7-100.0	Antiparasitic
RID10009		CAS:8014-19-5	Palmarosa oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	10.0	10.0	-	100.0	Antiparasitic
