id	pubchemid	casrn	chemical_name	listname	link	category	class
RID00318	8215	112-85-6	Behenic Acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00319	8371	118-75-2	Tetrachloro-1,4-benzoquinone	Schedule 1 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-I.html	Miscellaneous external exposomes	Substances of concern
RID00327	875	87-69-4	Tartaric acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00330	91590	28159-98-0	Irgarol 1051	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00330	91590	28159-98-0	Irgarol 1051	PACSs list Japan	https://www.nite.go.jp/chem/jcheck/list7.action?category=230&request_locale=en	Miscellaneous external exposomes	Substances of concern
RID00331	91688	64359-81-5	4,5-dichloro-2-n-octyl-4-isothiazolin-3-one	PACSs list Japan	https://www.nite.go.jp/chem/jcheck/list7.action?category=230&request_locale=en	Miscellaneous external exposomes	Substances of concern
RID00339	971	144-62-7	Oxalic acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00339	971	144-62-7	Oxalic acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID10014		84929-31-7	Lemon oil	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID10014		84929-31-7	Lemon oil	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00036	13450	886-50-0	Terbutryn	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00047	14778	1305-78-8	Calcium oxide	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00047	14778	1305-78-8	Calcium oxide	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00053	15910	1897-45-6	Chlorothalonil	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00053	15910	1897-45-6	Chlorothalonil	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00056	16129778	1401-55-4	Tannic acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00056	16129778	1401-55-4	Tannic acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00064	176	64-19-7	Acetic acid	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00064	176	64-19-7	Acetic acid	NPI Australia	http://www.npi.gov.au/substances/substance-list-and-thresholds	External environmental exposome	Substances of concern
RID00064	176	64-19-7	Acetic acid	Singapore list of controlled hazardous substances	https://www.nea.gov.sg/docs/default-source/default-document-library/hs--table-1.pdf	External environmental exposome	Substances of concern
RID00064	176	64-19-7	Acetic acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00064	176	64-19-7	Acetic acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00080	2256	1912-24-9	Atrazine	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00080	2256	1912-24-9	Atrazine	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00080	2256	1912-24-9	Atrazine	OSPAR List of Substances of Possible Concern	https://www.ospar.org/work-areas/hasec/hazardous-substances/possible-concern/list	External environmental exposome	Substances of concern
RID00080	2256	1912-24-9	Atrazine	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00080	2256	1912-24-9	Atrazine	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00081	2266	123-99-9	Azelaic acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00086	23665760	7681-52-9	Sodium Hypochlorite	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00086	23665760	7681-52-9	Sodium Hypochlorite	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00009	10215	482-89-3	Indigo	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00009	10215	482-89-3	Indigo	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00091	243	65-85-0	Benzoic acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00091	243	65-85-0	Benzoic acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00092	24462	7758-98-7	Copper Sulfate	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00092	24462	7758-98-7	Copper Sulfate	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00094	24504	7778-54-3	Calcium hypochlorite	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00094	24504	7778-54-3	Calcium hypochlorite	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00098	25517	12125-02-9	Ammonium chloride	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00098	25517	12125-02-9	Ammonium chloride	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
