id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	unit	administered_dose_range	significant_dose_range	trend	measurement	effect
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	Glutathione S-transferase pi mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	Glutathione S-transferase theta-1 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	NGT2 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	UDP glucuronosyltransferase 1 family a, b mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	p53 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	slc6a9a mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Increased	Apoptosis regulator Bcl-2 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Increased	Carnitine palmitoyltransferase 1a, liver mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	28876214	In vivo		Pandalus borealis	Adult	Medicated feed (1 g) was added directly to each tank 4 times	g/2 weeks	4	4	Decreased	Molting	Development
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	28876214	In vivo		Pandalus borealis	Adult	Medicated feed (1 g) was added directly to each tank 4 times	g/2 weeks	4	4	Decreased	Survival	Mortality
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	28876214	In vivo		Pandalus borealis	Adult	Medicated feed (1 g) was added directly to each tank 7 times	g/2 weeks	7	7	Decreased	Molting	Development
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	28876214	In vivo		Pandalus borealis	Adult	Medicated feed (1 g) was added directly to each tank 7 times	g/2 weeks	7	7	Decreased	Survival	Mortality
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	29524742	In vivo		Pandalus borealis	Larva	Medicated fish feed pellet	g/kg	0.6	0.6	Decreased	Maturity	Development
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	29524742	In vivo		Pandalus borealis	Larva	Medicated fish feed pellet	g/kg	0.6	0.6	Decreased	Survival	Mortality
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	29524742	In vivo		Pandalus borealis	Larva	Medicated fish feed pellet	g/kg	0.6	0.6	Decreased	Swimming	Behavior
RID00133	CID:37542	CAS:36791-04-5	Ribavirin	Compound	34959571	In vitro	E-11 cells				μg/mL	1000	1000	Decreased	Cell Viability	Cell(s)
RID00133	CID:37542	CAS:36791-04-5	Ribavirin	Compound	34962648	In vitro	SSN- 1 cells				mg/L	250	250	Increased	Lethal body concentration	Mortality
RID00133	CID:37542	CAS:36791-04-5	Ribavirin	Compound	34962648	In vivo		Hybrid grouper (Epinephelus fuscoguttatus × Epinephelus lanceolatus)			mg/L	100	100	Increased	Lethal body concentration	Mortality
RID00135	CID:3806	CAS:481-39-0	Juglone	Compound	38522112	In vivo		Carassius auratus			mg/L	1.583	1.583	Increased	Lethal body concentration	Mortality
