id	pubchemid	casrn	phenotypeid	phenotypename	interactionactions	organismid	organism	pubmedids
RID00111	CID:2912	CAS:52315-07-8	GO:1901670	negative regulation of superoxide dismutase activity	Increases phenotype	7955	Danio rerio	28407539
RID00111	CID:2912	CAS:52315-07-8	GO:0055090	acylglycerol homeostasis	Affects phenotype	8022	Oncorhynchus mykiss	30801904
RID00111	CID:2912	CAS:52315-07-8	GO:0043065	positive regulation of apoptotic process	Increases phenotype	7955	Danio rerio	28407539
RID00111	CID:2912	CAS:52315-07-8	GO:0055078	sodium ion homeostasis	Affects phenotype	8128	Oreochromis niloticus	21229307
RID00111	CID:2912	CAS:52315-07-8	GO:0055075	potassium ion homeostasis	Affects phenotype	8128	Oreochromis niloticus	21229307
RID00111	CID:2912	CAS:52315-07-8	GO:0055064	chloride ion homeostasis	Affects phenotype	8128	Oreochromis niloticus	21229307
RID00111	CID:2912	CAS:52315-07-8	GO:0051464	positive regulation of cortisol secretion	Increases phenotype	8128	Oreochromis niloticus	21229307
RID00111	CID:2912	CAS:52315-07-8	GO:0042632	cholesterol homeostasis	Affects phenotype	8128	Oreochromis niloticus	21229307
RID00111	CID:2912	CAS:52315-07-8	GO:0004602	glutathione peroxidase activity	Decreases phenotype	8022	Oncorhynchus mykiss	33412942
RID00111	CID:2912	CAS:52315-07-8	GO:0034440	lipid oxidation	Increases phenotype	7955	Danio rerio	28407539
RID00111	CID:2912	CAS:52315-07-8	GO:0004064	arylesterase activity	Decreases phenotype	8022	Oncorhynchus mykiss	30801904
RID00111	CID:2912	CAS:52315-07-8	GO:0004784	superoxide dismutase activity	Decreases phenotype	8022	Oncorhynchus mykiss	33412942
RID00111	CID:2912	CAS:52315-07-8	GO:0042593	glucose homeostasis	Affects phenotype	8128	Oreochromis niloticus	21229307
RID00111	CID:2912	CAS:52315-07-8	GO:0006974	cellular response to DNA damage stimulus	Increases phenotype	8022	Oncorhynchus mykiss	30801904
RID00111	CID:2912	CAS:52315-07-8	GO:0009636	response to toxic substance	Increases phenotype	7955	Danio rerio	28407539
RID00111	CID:2912	CAS:52315-07-8	GO:0006304	DNA modification	Increases phenotype	8022	Oncorhynchus mykiss	33412942
RID00117	CID:3220	CAS:518-82-1	GO:0006915	apoptotic process	Increases phenotype	7955	Danio rerio	22560901
RID00012	CID:10286	CAS:491-38-3	GO:0030537	larval behavior	Affects phenotype	7955	Danio rerio	29094189
RID00012	CID:10286	CAS:491-38-3	GO:0071632	optomotor response	Affects phenotype	7955	Danio rerio	29094189
RID00012	CID:10286	CAS:491-38-3	GO:0007635	chemosensory behavior	Affects phenotype	7955	Danio rerio	29094189
RID00122	CID:3365	CAS:86386-73-4	GO:0072593	reactive oxygen species metabolic process	Increases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0061053	somite development	Affects phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0060047	heart contraction	Decreases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0009790	embryo development	Decreases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0060047	heart contraction	Affects phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0042541	hemoglobin biosynthetic process	Decreases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0035188	hatching	Decreases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0034440	lipid oxidation	Increases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0009790	embryo development	Affects phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0007507	heart development	Affects phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0006915	apoptotic process	Increases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0004784	superoxide dismutase activity	Decreases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0004096	catalase activity	Decreases phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0001944	vasculature development	Affects phenotype	7955	Danio rerio	39828185
RID00122	CID:3365	CAS:86386-73-4	GO:0007507	heart development	Decreases phenotype	7955	Danio rerio	39828185
RID00126	CID:3485	CAS:111-30-8	GO:0008285	negative regulation of cell population proliferation	Increases phenotype	7955	Danio rerio	28236482
RID00137	CID:4004	CAS:121-75-5	GO:0070994	detection of oxidative stress	Increases phenotype	7955	Danio rerio	36345843
RID00137	CID:4004	CAS:121-75-5	GO:0036269	swimming behavior	Decreases phenotype	7955	Danio rerio	36345843
RID00137	CID:4004	CAS:121-75-5	GO:0034440	lipid oxidation	Increases phenotype	7955	Danio rerio	36345843
RID00137	CID:4004	CAS:121-75-5	GO:0017085	response to insecticide	Affects phenotype	7955	Danio rerio	31521933
RID00137	CID:4004	CAS:121-75-5	GO:0008219	cell death	Increases phenotype	8022	Oncorhynchus mykiss	30825313
RID00137	CID:4004	CAS:121-75-5	GO:0000737	DNA catabolic process, endonucleolytic	Increases phenotype	7955	Danio rerio	36345843
RID00137	CID:4004	CAS:121-75-5	GO:0004364	glutathione transferase activity	Increases phenotype	7955	Danio rerio	36345843
RID00137	CID:4004	CAS:121-75-5	GO:0004364	glutathione transferase activity	Decreases phenotype	7955	Danio rerio	36345843
RID00137	CID:4004	CAS:121-75-5	GO:0004784	superoxide dismutase activity	Affects phenotype	7955	Danio rerio	36345843
RID00139	CID:40326	CAS:52645-53-1	GO:0031987	locomotion involved in locomotory behavior	Increases phenotype	7955	Danio rerio	31442592
RID00139	CID:40326	CAS:52645-53-1	GO:0072593	reactive oxygen species metabolic process	Affects phenotype	7955	Danio rerio	30553213
RID00139	CID:40326	CAS:52645-53-1	GO:0052689	carboxylic ester hydrolase activity	Increases phenotype	7955	Danio rerio	30553213
RID00147	CID:439246	CAS:480-41-1	GO:0090326	positive regulation of locomotion involved in locomotory behavior	Increases phenotype	7955	Danio rerio	29499247
RID00147	CID:439246	CAS:480-41-1	GO:0007635	chemosensory behavior	Increases phenotype	7955	Danio rerio	29499247
RID00016	CID:10494	CAS:508-02-1	GO:0009790	embryo development	Affects phenotype	7955	Danio rerio	31704064
RID00167	CID:447043	CAS:83905-01-5	GO:0140042	lipid droplet formation	Increases phenotype	7955	Danio rerio	32454074
RID00168	CID:4471	CAS:50-65-7	GO:0046785	microtubule polymerization	Decreases phenotype	7955	Danio rerio	30165700
RID00168	CID:4471	CAS:50-65-7	GO:0090504	epiboly	Decreases phenotype	7955	Danio rerio	31398420
RID00168	CID:4471	CAS:50-65-7	GO:0043039	tRNA aminoacylation	Affects phenotype	7955	Danio rerio	31398420
RID00168	CID:4471	CAS:50-65-7	GO:0030041	actin filament polymerization	Decreases phenotype	7955	Danio rerio	31398420
