id	pubchemid	casrn	predicted_melting_point	experimental_melting_point	predicted_water_solubility_wskow	experimental_water_solubility	qsar_class	organism	duration	endpoint	concentration
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Green Algae (SW)	96-hr	LC50	54126.375
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Lemna gibba	7-day	EC50	2800.747314453125
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Propargyl Ketones	Fish	96-hr	LC50	2130.904296875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Propargyl Ketones	Daphnid	48-hr	LC50	1460.1214599609375
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Propargyl Ketones	Green Algae	96-hr	EC50	6340.5791015625
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Propargyl Ketones	Fish (SW)	96-hr	LC50	703103.0625
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Propargyl Ketones	Mysid (SW)	96-hr	LC50	30263.48046875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Acrylamides	Fish	96-hr	LC50	141.5692596435547
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Acrylamides	Daphnid	48-hr	LC50	360.5279846191406
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Acrylamides	Green Algae	96-hr	EC50	1.595397710800171
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Acrylamides	Fish (SW)	96-hr	LC50	271.72772216796875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Acrylamides	Mysid (SW)	96-hr	LC50	141.40310668945312
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Alcohols	Fish	96-hr	LC50	32.09511947631836
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Alcohols	Daphnid	48-hr	LC50	105.30014038085938
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Vinyl/Allyl Alcohols	Green Algae	96-hr	EC50	4.020861625671387
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Ketone alcohols	Fish	96-hr	LC50	484.7233581542969
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Ketone alcohols	Daphnid	48-hr	LC50	237.33346557617188
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Ketone alcohols	Green Algae	96-hr	EC50	52.73196792602539
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenol Amines 	Fish	96-hr	LC50	58.27791213989258
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenol Amines 	Daphnid	48-hr	LC50	2.9197049140930176
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenol Amines 	Green Algae	96-hr	EC50	8.009103775024414
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Neutral Organics	Fish	96-hr	LC50	1292.691650390625
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Neutral Organics	Daphnid	48-hr	LC50	790.2686157226562
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Neutral Organics	Green Algae	96-hr	EC50	798.9412841796875
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Neutral Organics	Fish (SW)	96-hr	LC50	1635.21484375
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Neutral Organics	Mysid	96-hr	LC50	706.82958984375
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Vinyl/Allyl Propargyl Ketones	Fish	96-hr	LC50	1317.4521484375
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Vinyl/Allyl Propargyl Ketones	Daphnid	48-hr	LC50	860.86474609375
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Vinyl/Allyl Propargyl Ketones	Green Algae	96-hr	EC50	1381.5758056640625
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Vinyl/Allyl Propargyl Ketones	Fish (SW)	96-hr	LC50	7050.4189453125
RID00050	CID:14982	CAS:1405-86-3	349.8399963378906		0.05297611653804779		Vinyl/Allyl Propargyl Ketones	Mysid (SW)	96-hr	LC50	478.7567443847656
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Hydrazines	Fish	96-hr	LC50	0.06815963983535767
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Hydrazines	Daphnid	48-hr	LC50	0.6599712371826172
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Hydrazines	Green Algae	96-hr	EC50	0.31086039543151855
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Hydrazines	Mysid	96-hr	LC50	0.03763825446367264
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Neutral Organics	Fish	96-hr	LC50	0.2993254065513611
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Neutral Organics	Daphnid	48-hr	LC50	0.2382919043302536
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Neutral Organics	Green Algae	96-hr	EC50	0.7178560495376587
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Neutral Organics	Fish (SW)	96-hr	LC50	0.38517603278160095
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Neutral Organics	Mysid	96-hr	LC50	0.02398763597011566
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Triazoles (Non-Fused)	Fish	96-hr	LC50	0.2359233945608139
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Triazoles (Non-Fused)	Daphnid	48-hr	LC50	0.6892791390419006
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Triazoles (Non-Fused)	Green Algae	96-hr	EC50	0.26304808259010315
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Triazoles (Non-Fused)	Fish (SW)	96-hr	LC50	0.4048808217048645
RID00238	CID:55283	CAS:84625-61-6	349.8399963378906		0.0004718666896224022		Triazoles (Non-Fused)	Mysid (SW)	96-hr	LC50	0.04480897635221481
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Neutral Organics	Fish	96-hr	LC50	89.20073699951172
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Neutral Organics	Daphnid	48-hr	LC50	51.59272766113281
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Neutral Organics	Green Algae	96-hr	EC50	41.480926513671875
