id	pubchemid	casrn	geneforms	geneid	genesymbol	interactionactions	organismid	organism	pubmedids
RID00104	CID:2726	CAS:50-53-3	mRNA	794188	SLC22A7A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	79602	ADIPOR2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	79622	SNRNP25	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	79733	E2F8	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	798023	SLC2A9L2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	799473	REREB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	799492	CKMT2B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	79583	TMEM231	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	7936	NELFE	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8634	RTCA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8835	SOCS2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9446	GSTO1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9453	GGPS1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9470	EIF4E2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	948	CD36	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9513	FXR2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9567	GTPBP1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9425	CDYL	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9572	NR1D1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9650	MTFR1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9675	TTI1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9706	ULK2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9837	GINS1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9842	PLEKHM1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9973	CCS	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	9580	SOX13	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8780	RIOK3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	94241	TP53INP1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	94086	HSPB9	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8878	SQSTM1	Affects expression	7955	Danio rerio	25064622
