id	pubchemid	casrn	aquaculture_predator_species	prey_species	bcf_value
RID00132	CID:37123	CAS:35367-38-5	Oncorhynchus mykiss	Ctenopharyngodon idella	110.9453026795793
RID00132	CID:37123	CAS:35367-38-5	Micropterus salmoides	Pomoxis nigromaculatus	33.0
RID00132	CID:37123	CAS:35367-38-5	Oreochromis niloticus	Oreochromis niloticus	86.74099376880572
RID00132	CID:37123	CAS:35367-38-5	Micropterus salmoides	Gambusia affinis	1.2517470633177628
RID00132	CID:37123	CAS:35367-38-5	Micropterus salmoides	Ctenopharyngodon idella	110.9453026795793
RID00132	CID:37123	CAS:35367-38-5	Micropterus salmoides	Ameiurus nebulosus	23.0
RID00132	CID:37123	CAS:35367-38-5	Ictalurus punctatus	Lepomis macrochirus	159.99999999999994
RID00132	CID:37123	CAS:35367-38-5	Clarias gariepinus	Oreochromis niloticus	86.74099376880572
RID00132	CID:37123	CAS:35367-38-5	Anguilla anguilla	Ctenopharyngodon idella	110.9453026795793
RID00132	CID:37123	CAS:35367-38-5	Micropterus salmoides	Lepomis macrochirus	159.99999999999994
RID00137	CID:4004	CAS:121-75-5	Micropterus salmoides	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Micropterus salmoides	Pseudorasbora parva	2.0
RID00137	CID:4004	CAS:121-75-5	Oncorhynchus mykiss	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Oncorhynchus mykiss	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Oncorhynchus mykiss	Pseudorasbora parva	2.0
RID00137	CID:4004	CAS:121-75-5	Salmo salar	Pseudorasbora parva	2.0
RID00137	CID:4004	CAS:121-75-5	Salmo salar	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Salmo salar	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Salmo trutta	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Salmo trutta	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Salmo trutta	Pseudorasbora parva	2.0
RID00137	CID:4004	CAS:121-75-5	Oreochromis niloticus	Oreochromis niloticus	14.959612446913418
RID00137	CID:4004	CAS:121-75-5	Micropterus salmoides	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Ictalurus punctatus	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Lates calcarifer	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Lepomis macrochirus	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Anguilla anguilla	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Anguilla anguilla	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Carassius auratus	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Carassius carassius	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Anguilla anguilla	Pseudorasbora parva	2.0
RID00137	CID:4004	CAS:121-75-5	Clarias gariepinus	Oreochromis niloticus	14.959612446913418
RID00137	CID:4004	CAS:121-75-5	Ctenopharyngodon idella	Elodea canadensis	1.2
RID00137	CID:4004	CAS:121-75-5	Cyprinus carpio	Cyprinus carpio	7.7581987997642115
RID00137	CID:4004	CAS:121-75-5	Cyprinus carpio	Gammarus pulex	114.79891114466194
RID00137	CID:4004	CAS:121-75-5	Cyprinus carpio	Pseudorasbora parva	2.0
RID00137	CID:4004	CAS:121-75-5	Channa striata	Cyprinus carpio	7.7581987997642115
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus tshawytscha	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus mykiss	Pimephales promelas	2590.8455173410152
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus mykiss	Salmo salar	24.202134025183938
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus mykiss	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus mykiss	Zygoptera	4.1
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus tshawytscha	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Pimephales promelas	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Salmo trutta	Salmo salar	24.202134025183938
RID00139	CID:40326	CAS:52645-53-1	Salmo salar	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Salmo salar	Salmo salar	24.202134025183938
RID00139	CID:40326	CAS:52645-53-1	Salmo salar	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Salmo trutta	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Salmo trutta	Simulium vittatum	17.899999999999995
RID00139	CID:40326	CAS:52645-53-1	Salmo trutta	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Poecilia reticulata	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus mykiss	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Micropterus salmoides	Zygoptera	4.1
RID00139	CID:40326	CAS:52645-53-1	Micropterus salmoides	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Oncorhynchus aguabonita	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Acipenser baerii	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Acipenser ruthenus	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Anguilla anguilla	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Anguilla anguilla	Salmo salar	24.202134025183938
RID00139	CID:40326	CAS:52645-53-1	Cyprinus carpio	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Anguilla anguilla	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Ictalurus punctatus	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Ictalurus punctatus	Pimephales promelas	2590.8455173410152
RID00139	CID:40326	CAS:52645-53-1	Lepomis macrochirus	Trichoptera	30.4
RID00139	CID:40326	CAS:52645-53-1	Micropterus salmoides	Oncorhynchus mykiss	1426.6935364395758
RID00139	CID:40326	CAS:52645-53-1	Micropterus salmoides	Pimephales promelas	2590.8455173410152
RID00139	CID:40326	CAS:52645-53-1	Micropterus salmoides	Salmo salar	24.202134025183938
RID00139	CID:40326	CAS:52645-53-1	Gadus morhua	Salmo salar	24.202134025183938
RID00141	CID:40585	CAS:52918-63-5	Oncorhynchus mykiss	Pimephales promelas	211.41514087530967
RID00141	CID:40585	CAS:52918-63-5	Salmo trutta	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Salmo salar	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Oncorhynchus tshawytscha	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Oncorhynchus mykiss	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Ictalurus punctatus	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Micropterus salmoides	Pimephales promelas	211.41514087530967
RID00141	CID:40585	CAS:52918-63-5	Micropterus salmoides	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Ictalurus punctatus	Pimephales promelas	211.41514087530967
RID00141	CID:40585	CAS:52918-63-5	Anguilla anguilla	Oncorhynchus mykiss	225.6188668607475
RID00141	CID:40585	CAS:52918-63-5	Oncorhynchus aguabonita	Oncorhynchus mykiss	225.6188668607475
RID00168	CID:4471	CAS:50-65-7	Micropterus salmoides	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Salmo trutta	Chironomus plumosus	78.91833782698218
RID00168	CID:4471	CAS:50-65-7	Salmo salar	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Salmo trutta	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Oncorhynchus tshawytscha	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Oncorhynchus mykiss	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Oncorhynchus aguabonita	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Micropterus salmoides	Chironomus plumosus	78.91833782698218
RID00168	CID:4471	CAS:50-65-7	Carassius auratus	Chironomus plumosus	78.91833782698218
RID00168	CID:4471	CAS:50-65-7	Danio rerio	Daphnia magna	55.30693406919314
RID00168	CID:4471	CAS:50-65-7	Cyprinus carpio	Chironomus plumosus	78.91833782698218
RID00168	CID:4471	CAS:50-65-7	Carassius carassius	Daphnia magna	55.30693406919314
RID00168	CID:4471	CAS:50-65-7	Carassius carassius	Chironomus plumosus	78.91833782698218
RID00168	CID:4471	CAS:50-65-7	Anguilla anguilla	Oncorhynchus mykiss	249.9999999999999
RID00168	CID:4471	CAS:50-65-7	Anguilla anguilla	Chironomus plumosus	78.91833782698218
RID00168	CID:4471	CAS:50-65-7	Ictalurus punctatus	Oncorhynchus mykiss	249.9999999999999
RID00017	CID:10569	CAS:514-10-3	Salmo trutta	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Salmo salar	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Oncorhynchus tshawytscha	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Oncorhynchus mykiss	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Micropterus salmoides	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Ictalurus punctatus	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Anguilla anguilla	Oncorhynchus mykiss	80.97689078141323
RID00017	CID:10569	CAS:514-10-3	Oncorhynchus aguabonita	Oncorhynchus mykiss	80.97689078141323
RID00201	CID:5281303	CAS:11141-17-6	Danio rerio	Algae	0.43954521951671827
RID00252	CID:6129	CAS:63-25-2	Micropterus salmoides	Pseudorasbora parva	9.000000000000002
RID00252	CID:6129	CAS:63-25-2	Salmo trutta	Pseudorasbora parva	9.000000000000002
RID00252	CID:6129	CAS:63-25-2	Salmo trutta	Chironomus riparius	7.394870238904648
RID00252	CID:6129	CAS:63-25-2	Salmo salar	Pseudorasbora parva	9.000000000000002
RID00252	CID:6129	CAS:63-25-2	Oreochromis niloticus	Gambusia affinis	1.45
RID00252	CID:6129	CAS:63-25-2	Oncorhynchus mykiss	Pseudorasbora parva	9.000000000000002
RID00252	CID:6129	CAS:63-25-2	Micropterus salmoides	Gambusia affinis	1.45
RID00252	CID:6129	CAS:63-25-2	Ctenopharyngodon idella	Lemna minor	3599.999999999998
RID00252	CID:6129	CAS:63-25-2	Cyprinus carpio	Pseudorasbora parva	9.000000000000002
RID00252	CID:6129	CAS:63-25-2	Cyprinus carpio	Chironomus riparius	7.394870238904648
RID00252	CID:6129	CAS:63-25-2	Micropterus salmoides	Chironomus riparius	7.394870238904648
RID00252	CID:6129	CAS:63-25-2	Carassius carassius	Chironomus riparius	7.394870238904648
RID00252	CID:6129	CAS:63-25-2	Carassius auratus	Chironomus riparius	7.394870238904648
RID00252	CID:6129	CAS:63-25-2	Anguilla anguilla	Pseudorasbora parva	9.000000000000002
RID00252	CID:6129	CAS:63-25-2	Anguilla anguilla	Chironomus riparius	7.394870238904648
RID00258	CID:6321424	CAS:70288-86-7	Salmo trutta	Mytilus edulis	749.9999999999999
RID00258	CID:6321424	CAS:70288-86-7	Salmo trutta	Lepomis macrochirus	50.87937659929992
RID00258	CID:6321424	CAS:70288-86-7	Micropterus salmoides	Lepomis macrochirus	50.87937659929992
