"Unit"	"Converted value equivalent in PPM"	"Comment"	"Conversion to ppm"	"Covered in old units"
"ug/d/org"			"no"	"Yes"
"cm3/100 g bdwt"			"no"	"Yes"
"cwt/acre"			"no"	"Yes"
"AI g/10 m"			"no"	"Yes"
"cm2"			"no"	"Yes"
"fl oz/1000 ft"			"no"	"Yes"
"kBq/dm3"			"no"	"Yes"
"uCi/org"			"no"	"Yes"
"ICU/kg diet"			"no"	"Yes"
"ml/100 kg diet"			"no"	"Yes"
"cm3/m2"			"no"	"Yes"
"mg %"			"no"	"Yes"
"ml/plot"			"no"	"Yes"
"g/0.25 acre"			"no"	"Yes"
"% mg"			"no"	"Yes"
"g/ft2"			"no"	"Yes"
"nmol/cm2"			"no"	"Yes"
"g/305 m"			"no"	"Yes"
"% PRTL"			"no"	"Yes"
"mOsm"			"no"	"Yes"
"ml/100 g bdwt/d"			"no"	"Yes"
"L/m3"			"no"	"Yes"
"ul/100 ml diet"			"no"	"Yes"
"cc"			"no"	"Yes"
"g/1600 org"			"no"	"Yes"
"ml/100 gal"			"no"	"Yes"
"AI kg/acre"			"no"	"Yes"
"AI g/eu"			"no"	"Yes"
"cm3/l"			"no"	"Yes"
"oz/305 m"			"no"	"Yes"
"mCi"			"no"	"Yes"
"ml/100 g"			"no"	"Yes"
"ml/929 cm2"			"no"	"Yes"
"g/in dbh"			"no"	"Yes"
"AI ug/org/d"			"no"	"Yes"
"gal/yd2"			"no"	"Yes"
"kg/feddan"			"no"	"Yes"
"AI ml/100 kg"			"no"	"Yes"
"g/plot"			"no"	"Yes"
"AI ug/sd"			"no"	"Yes"
"mg/mi"			"no"	"Yes"
"ml/kg"			"no"	"Yes"
"L/ton sd"			"no"	"Yes"
"g/150 sd"			"no"	"Yes"
"mS/cm"			"no"	"Yes"
"mg/100 cm2"			"no"	"Yes"
"g/60 cm"			"no"	"Yes"
"gal/cwt"			"no"	"Yes"
"ug/lf"			"no"	"Yes"
"cm3/ha"			"no"	"Yes"
"L/mmol"			"no"	"Yes"
"cm3/yd"			"no"	"Yes"
"ml/org/d"			"no"	"Yes"
"ul/ml"			"no"	"Yes"
"ug/cm2 org"			"no"	"Yes"
"ml/10.2 L"			"no"	"Yes"
"gal/acre"			"no"	"Yes"
"ml/l diet"			"no"	"Yes"
"mg/fish"			"no"	"Yes"
"cm3/100 L"			"no"	"Yes"
"ul/100 ml"			"no"	"Yes"
"oz/1000 ft2"			"no"	"Yes"
"ul/2 ml diet"			"no"	"Yes"
"ml/g soil"			"no"	"Yes"
"mm3/dm3"			"no"	"Yes"
"L"			"no"	"Yes"
"tons"			"no"	"Yes"
"mg/cm2/d"			"no"	"Yes"
"AI ul/ml"			"no"	"Yes"
"AI ug/100 cm2"			"no"	"Yes"
"g/linear ft"			"no"	"Yes"
"ul/m2"			"no"	"Yes"
"kg/100 m2"			"no"	"Yes"
"PIg/L"			"no"	"Yes"
"mg/org/wk"			"no"	"Yes"
"ml/20 L diet"			"no"	"Yes"
"pg/cm2"			"no"	"Yes"
"AI g/m2"			"no"	"Yes"
"dpm"			"no"	"Yes"
"pg/org"			"no"	"Yes"
"AI g/100 m2"			"no"	"Yes"
"ml/ft2"			"no"	"Yes"
"tons/ha"			"no"	"Yes"
"ml/gal/4 ft2 soil"			"no"	"Yes"
"kg/ac"			"no"	"Yes"
"L/160 m soil"			"no"	"Yes"
"l/hl"			"no"	"Yes"
"mg/sd"			"no"	"Yes"
"ml/kg org/d"			"no"	"Yes"
"AI ml/100 kg seed"			"no"	"Yes"
"AI ml/m2"			"no"	"Yes"
"ul/g"			"no"	"Yes"
"nl/L"			"no"	"Yes"
"AI oz/in dbh"			"no"	"Yes"
"ng/h"			"no"	"Yes"
"ml/kg diet"			"no"	"Yes"
"AI kg"			"no"	"Yes"
"ml/25 ft"			"no"	"Yes"
"ul/kg diet"			"no"	"Yes"
"AI ml/kg"			"no"	"Yes"
"ae ug/org"			"no"	"Yes"
"fibers/L"			"no"	"Yes"
"nl/ml"			"no"	"Yes"
"kg/ha/yr"			"no"	"Yes"
"AI g/m"			"no"	"Yes"
"dm3/ha"			"no"	"Yes"
"AI g/93 m2"			"no"	"Yes"
"mg h/L"			"no"	"Yes"
"AI gal/acre"			"no"	"Yes"
"L/eu"			"no"	"Yes"
"PSU"			"no"	"Yes"
"AI ug/cm2 diet"			"no"	"Yes"
